Country Name,Country Code,Region,IncomeGroup,Year,Life Expectancy World Bank,Prevelance of Undernourishment,CO2,Health Expenditure %,Education Expenditure %,Unemployment,Corruption,Sanitation,Injuries,Communicable,NonCommunicable
Belgium,BEL,Europe & Central Asia,High income,2001,77.97317073,2.5,118340,8.14988804,0,6.179999828,0,73.84454522,393056.61,160341.77,2708304.31
Benin,BEN,Sub-Saharan Africa,Lower middle income,2001,55.668,17.2,1740,3.24910021,2.365099907,0.771000028,0,0,285885.2,4179251.5,1180016.78
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2001,50.893,22.6,970,2.88835382,0,2.648000002,0,0,536392.74,10193782.66,2395728.15
Bangladesh,BGD,South Asia,Lower middle income,2001,65.956,15.9,25780,2.06375051,2.171930075,3.617000103,0,18.73700671,5106399.34,29348014.24,20529108.23
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2001,71.76829268,4,46190,6.85958767,3.384239912,19.92000008,0,50.83995755,379598.55,184936.84,3126551.07
Bahrain,BHR,Middle East & North Africa,High income,2001,74.635,0,16390,3.68104196,0,1.10800004,0,69.38425755,19519.46,15096.19,105084.33
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2001,74.637,3.2,13760,7.27702522,0,26.61400032,0,17.60289939,137886.58,75029.92,985953.75
Belarus,BLR,Europe & Central Asia,Upper middle income,2001,68.50731707,2.5,51880,5.70827103,0,11.5539999,0,84.22060135,843472.15,221301.07,3630110.19
Belize,BLZ,Latin America & Caribbean,Upper middle income,2001,69.04,5.8,530,4.63241482,5.796929836,9.069999695,0,0,14723.49,19427.42,38687.31
Bermuda,BMU,North America,High income,2001,77.88536585,0,0,0,0,0,0,0,1268.17,1587.9,13589.33
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2001,63.054,27.9,8050,4.82522202,0,2.484999895,0,28.91301607,427941.6,1592197.06,1578651.87
Brazil,BRA,Latin America & Caribbean,Upper middle income,2001,70.462,10.7,319380,8.54960632,3.844680071,9.609999657,0,36.16762407,9266898.86,13885996.63,36221436.41
Barbados,BRB,Latin America & Caribbean,High income,2001,77.362,6.4,1310,5.52529192,6.055369854,9.850000381,0,0,6656.3,11832.75,60831.22
Bhutan,BTN,South Asia,Lower middle income,2001,61.808,0,230,5.0041995,5.91573,1.899999976,0,62.37396261,23055.33,150694.53,107017.42
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2001,50.281,23.7,3870,6.15671635,0,18.54000092,0,0,108921.89,1278992.69,318895.42
Central African Republic,CAF,Sub-Saharan Africa,Low income,2001,44.061,39.2,250,3.95594192,0,5.69299984,0,19.63079212,299925.65,3652351.14,745735.01
Canada,CAN,North America,High income,2001,79.33902439,2.5,506620,8.62482357,4.953030109,7.21999979,0,77.5758104,818908.6,374249.31,6667095.01
Switzerland,CHE,Europe & Central Asia,High income,2001,80.1804878,2.5,45150,9.43919373,4.81137991,2.49000001,0,99.61498273,248188.08,83610.68,1735154.25
Chile,CHL,Latin America & Caribbean,High income,2001,76.634,3.4,48430,7.15104103,0,10.39000034,0,51.18679267,528317.32,339395.38,2826830.34
China,CHN,East Asia & Pacific,Upper middle income,2001,71.732,10,3529080,4.25329876,0,3.799999952,0,13.49134882,47557278.81,50025776.4,275473735.9
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2001,49.495,20.4,6490,6.01772738,2.444770098,4.795000076,0,0,657533.5,12911513.67,2791907.35
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2001,51.222,22.9,5160,4.0975132,2.297339916,7.460000038,0,0,589962.64,9928803.53,2484149.63
Colombia,COL,Latin America & Caribbean,Upper middle income,2001,73.241,8.7,58940,5.94238234,3.708679914,15.03999996,0,15.32835091,3298510.11,2290325.34,6106138.78
Comoros,COM,Sub-Saharan Africa,Lower middle income,2001,59.529,0,110,6.65322924,0,4.68900013,0,0,18971.88,221052.78,91790.02
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2001,77.601,4.7,5420,6.47410393,4.832029819,5.920000076,0,38.62663605,111737.67,105977.38,589944.74
Cuba,CUB,Latin America & Caribbean,Upper middle income,2001,76.905,2.5,27470,6.98209763,8.358090401,4.079999924,0,40.22396538,369329.5,273181.1,2375229.65
Cyprus,CYP,Europe & Central Asia,High income,2001,78.139,5.1,6990,5.33940458,5.11552,3.980000019,0,76.17387116,27840.44,11278.33,197749.38
Germany,DEU,Europe & Central Asia,High income,2001,78.32926829,2.5,847680,9.92046165,0,7.769999981,0,95.81332596,2057820.12,879257,23164672.77
Djibouti,DJI,Middle East & North Africa,Lower middle income,2001,57.1,42,380,2.8072207,7.805429935,28.21699905,0,24.85958539,24412.57,304678.27,97074.22
Dominica,DMA,Latin America & Caribbean,Upper middle income,2001,0,3.7,150,4.6450181,0,0,0,0,2397.25,3636.2,17708.87
Denmark,DNK,Europe & Central Asia,High income,2001,76.79268293,2.5,54250,8.44832611,8.215450287,4.159999847,0,86.80214056,147748.82,69511.12,1523352.52
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2001,69.69,20.4,18980,4.88183308,1.967829943,7.260000229,0,0,331151.89,1080987.39,1343896.38
Algeria,DZA,Middle East & North Africa,Lower middle income,2001,71.116,8,78650,3.83787704,0,27.29999924,0,21.35186836,1608318.07,2111100.61,5443142.91
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2001,73.078,21,24250,3.75336552,0,4.25,0,39.98472033,577980.25,1127477.59,1869608.34
Eritrea,ERI,Sub-Saharan Africa,Low income,2001,55.864,0,700,5.91931629,4.047160149,5.765999794,0,0,233580.91,2012790.29,641729
Spain,ESP,Europe & Central Asia,High income,2001,79.36829268,2.5,294790,6.76895761,4.111269951,10.35000038,0,93.8276238,1105890.85,554637.5,10087758.4
Estonia,EST,Europe & Central Asia,High income,2001,70.25853659,3.6,15380,4.77708292,5.228459835,13.13000011,0,92.57380161,105615.51,30166.86,476440.3
Ethiopia,ETH,Sub-Saharan Africa,Low income,2001,52.595,47,4400,4.72316694,3.700289965,3.303999901,0,2.377647105,3185985.43,46614051.59,10875042.5
Finland,FIN,Europe & Central Asia,High income,2001,77.96585366,2.5,61090,7.25090408,5.840250015,10.28999996,0,80.24642653,222105.62,66976.25,1324448.51
Fiji,FJI,East Asia & Pacific,Upper middle income,2001,65.863,4,1040,2.90547323,5.643109798,3.907000065,0,0,27085.27,60694.54,197751.12
France,FRA,Europe & Central Asia,High income,2001,79.15853659,2.5,376730,9.70562744,0,8.609999657,0,79.23755841,2204469.1,837070.94,14213905.67
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2001,57.968,10.7,6230,3.15246463,0,17.22599983,0,0,51611.35,445707.56,235345.91
United Kingdom,GBR,Europe & Central Asia,High income,2001,77.99268293,2.5,545260,7.56716347,4.108550072,4.699999809,0,97.74638486,1259910.06,1112338.81,16399003.09
Georgia,GEO,Europe & Central Asia,Upper middle income,2001,70.065,7.7,3520,7.16950893,2.137500048,11.15999985,0,47.28735939,146593.82,206455.21,1423122.16
